20150110	3U8786	太原	郑州	15:10-17:25	02:15	136	1020
20150109	3U8542	太原	哈尔滨	20:15-22:31	01:44	43	1080
20150108	CZ9392	太原	北京	07:41-08:51	01:10	90	442
20150107	CZ6569	太原	西安	11:40-12:55	01:15	150	654
20150106	CA4804	太原	南京	13:10-15:05	01:55	56	808
20150105	JD5520	太原	桂林	12:35-15:13	02:38	11	657
20150104	ZH9427	沈阳	太原	07:45-09:35	01:50	56	752
20150103	MU5235	太原	杭州	08:15-10:05	01:50	72	762
20150103	HU7379	太原	广州	08:10-10:40	02:30	91	1235
20150103	MU2402	太原	上海	07:40-09:27	01:55	181	910
20150102	MU7981	广州	台北	16:10-18:06	01:46	76	940
20150102	MU587	上海	纽约	11:55-12:51	14:30	66	4179
20150102	UA836	上海	芝加哥	17:00-15:57	13:05	22	3100
20150101	HO1724	太原	上海	13:50-16:07	02:17	63	600
